c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,result
5,4,2,long,openrect,3,rectanglod,2,short,slopetop,1,trianglod,3,long,openrect,1,hexagonlod,2,short,openrect,1,circlelod,0,1,0,0,0,1,0,0,1,0,east
4,3,2,short,ushaped,1,trianglod,2,short,opentrap,1,rectanglod,2,short,closedrect,2,circlelod,-,-,-,-,-,0,1,0,1,0,0,0,0,0,0,east
4,2,2,short,openrect,1,circlelod,2,short,hexagon,1,trianglod,3,long,closedrect,1,trianglod,-,-,-,-,-,0,0,0,0,1,0,1,0,0,0,east
5,2,2,short,opentrap,1,trianglod,2,short,dblopnrect,1,trianglod,2,short,ellipse,1,rectanglod,2,short,openrect,1,rectanglod,1,1,0,0,1,0,0,0,0,0,east
4,3,2,short,dblopnrect,1,trianglod,3,long,closedrect,1,rectanglod,2,short,closedrect,1,circlelod,-,-,-,-,-,0,1,0,1,0,0,0,0,0,0,east
3,2,2,long,closedrect,3,circlelod,2,short,openrect,1,trianglod,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,0,0,0,west
4,2,2,short,dblopnrect,1,circlelod,2,short,ushaped,1,trianglod,2,long,jaggedtop,0,-,-,-,-,-,-,0,0,0,0,0,0,1,0,0,0,west
3,2,3,long,closedrect,1,rectanglod,2,short,ushaped,1,circlelod,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0,0,west
5,2,2,short,opentrap,1,circlelod,2,long,jaggedtop,1,rectanglod,2,short,openrect,1,rectanglod,2,short,opentrap,1,circlelod,1,0,0,1,0,0,0,0,0,0,west
3,1,2,short,ushaped,1,rectanglod,2,long,openrect,2,rectanglod,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,west

